,0
Country/Region,FranceFranceFranceFranceFranceFranceFranceFranceFranceFranceFrance
Lat,91.39739499999999
Long,60.04088600000003
1/22/20,0
1/23/20,0
1/24/20,2
1/25/20,3
1/26/20,3
1/27/20,3
1/28/20,4
1/29/20,5
1/30/20,5
1/31/20,5
2/1/20,6
2/2/20,6
2/3/20,6
2/4/20,6
2/5/20,6
2/6/20,6
2/7/20,6
2/8/20,11
2/9/20,11
2/10/20,11
2/11/20,11
2/12/20,11
2/13/20,11
2/14/20,11
2/15/20,12
2/16/20,12
2/17/20,12
2/18/20,12
2/19/20,12
2/20/20,12
2/21/20,12
2/22/20,12
2/23/20,12
2/24/20,12
2/25/20,14
2/26/20,18
2/27/20,38
2/28/20,57
2/29/20,100
3/1/20,130
3/2/20,191
3/3/20,204
3/4/20,288
3/5/20,380
3/6/20,656
3/7/20,959
3/8/20,1136
3/9/20,1219
3/10/20,1794
3/11/20,2293
3/12/20,2293
3/13/20,3681
3/14/20,4496
3/15/20,4532
3/16/20,6683
3/17/20,7715
3/18/20,9124
3/19/20,10970
3/20/20,12758
3/21/20,14463
3/22/20,16243
3/23/20,20123
3/24/20,22622
3/25/20,25600
3/26/20,29551
3/27/20,33402
3/28/20,38105
3/29/20,40708
3/30/20,45170
3/31/20,52827
4/1/20,57749
4/2/20,59929
4/3/20,65202
4/4/20,69500
4/5/20,71412
4/6/20,75343
4/7/20,79163
4/8/20,83057
4/9/20,87366
4/10/20,91738
4/11/20,94863
4/12/20,121712
4/13/20,125394
4/14/20,130365
4/15/20,133585
4/16/20,146075
4/17/20,148084
4/18/20,148086
4/19/20,153011
4/20/20,155393
4/21/20,158168
4/22/20,155980
4/23/20,158303
4/24/20,159952
4/25/20,161644
4/26/20,162220
4/27/20,165963
4/28/20,169053
4/29/20,166543
4/30/20,167299
5/1/20,167305
5/2/20,168518
5/3/20,168925
5/4/20,169583
5/5/20,170687
5/6/20,174224
5/7/20,174918
5/8/20,176202
5/9/20,176782
5/10/20,177094
5/11/20,177547
5/12/20,178349
5/13/20,178184
5/14/20,178994
5/15/20,179630
5/16/20,179630
5/17/20,179693
5/18/20,180051
5/19/20,180933
5/20/20,181700
5/21/20,181951
5/22/20,182354
5/23/20,182694
5/24/20,182709
5/25/20,183067
5/26/20,182847
5/27/20,183038
5/28/20,186364
5/29/20,186923
5/30/20,188752
5/31/20,189009
6/1/20,189348
6/2/20,188582
6/3/20,188934
6/4/20,189701
6/5/20,190312
6/6/20,190891
6/7/20,191234
6/8/20,191445
6/9/20,191849
6/10/20,192394
6/11/20,192819
6/12/20,193546
6/13/20,194072
6/14/20,194479
6/15/20,194631
6/16/20,194975
6/17/20,195433
6/18/20,195900
6/19/20,196711
6/20/20,197352
6/21/20,197636
6/22/20,198009
6/23/20,198526
6/24/20,198607
6/25/20,198607
6/26/20,200195
6/27/20,200195
6/28/20,199476
6/29/20,201522
6/30/20,202063
7/1/20,202981
7/2/20,203640
7/3/20,204222
7/4/20,204222
7/5/20,204222
7/6/20,205597
7/7/20,206072
7/8/20,206072
7/9/20,207356
7/10/20,208015
7/11/20,208015
7/12/20,208015
7/13/20,209640
7/14/20,209640
7/15/20,210568
7/16/20,211102
7/17/20,211943
7/18/20,211943
7/19/20,211943
7/20/20,214023
7/21/20,214607
7/22/20,215605
7/23/20,216667
7/24/20,217797
7/25/20,217801
7/26/20,217801
7/27/20,220352
7/28/20,221077
7/29/20,221077
7/30/20,222469
7/31/20,225197
8/1/20,225198
8/2/20,225198
8/3/20,225198
8/4/20,228576
8/5/20,228576
8/6/20,231310
8/7/20,235207
8/8/20,235208
8/9/20,235237
8/10/20,239349
8/11/20,239355
8/12/20,244088
8/13/20,244096
8/14/20,249655
8/15/20,252965
8/16/20,252965
8/17/20,256533
8/18/20,256534
8/19/20,256534
8/20/20,256534
8/21/20,271960
8/22/20,275562
8/23/20,280459
8/24/20,282414
8/25/20,285902
8/26/20,291374
8/27/20,297485
8/28/20,304947
8/29/20,304947
8/30/20,315813
8/31/20,318986
9/1/20,323968
9/2/20,331060
9/3/20,338220
9/4/20,347267
9/5/20,347267
9/6/20,347268
9/7/20,367174
9/8/20,373718
9/9/20,383292
9/10/20,392243
9/11/20,401890
9/12/20,402811
9/13/20,402893
9/14/20,425870
9/15/20,433905
9/16/20,443869
9/17/20,454266
9/18/20,467421
9/19/20,467614
9/20/20,467614
9/21/20,496851
9/22/20,507150
9/23/20,508456
9/24/20,536289
9/25/20,552421
9/26/20,552454
9/27/20,552473
9/28/20,577980
9/29/20,590021
9/30/20,604031
10/1/20,616986
10/2/20,629431
10/3/20,629509
10/4/20,629509
10/5/20,664289
10/6/20,675736
10/7/20,693603
10/8/20,711704
10/9/20,732434
10/10/20,732434
10/11/20,732434
10/12/20,776097
10/13/20,798257
10/14/20,820376
10/15/20,850997
10/16/20,876342
10/17/20,876342
10/18/20,876342
10/19/20,952600
10/20/20,973275
10/21/20,1000369
10/22/20,1041991
10/23/20,1084659
10/24/20,1084684
10/25/20,1084746
10/26/20,1209651
10/27/20,1244242
10/28/20,1280215
10/29/20,1327852
10/30/20,1377347
10/31/20,1412709
11/1/20,1458999
11/2/20,1512541
11/3/20,1549174
11/4/20,1591152
11/5/20,1648989
11/6/20,1709716
11/7/20,1709773
11/8/20,1835187
11/9/20,1856292
