,0
Country/Region,FranceFranceFranceFranceFranceFranceFranceFranceFranceFranceFrance
Lat,91.39739499999999
Long,60.04088600000003
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,1
2/16/20,1
2/17/20,1
2/18/20,1
2/19/20,1
2/20/20,1
2/21/20,1
2/22/20,1
2/23/20,1
2/24/20,1
2/25/20,1
2/26/20,2
2/27/20,2
2/28/20,2
2/29/20,2
3/1/20,2
3/2/20,3
3/3/20,4
3/4/20,4
3/5/20,6
3/6/20,9
3/7/20,11
3/8/20,19
3/9/20,19
3/10/20,33
3/11/20,48
3/12/20,48
3/13/20,79
3/14/20,91
3/15/20,91
3/16/20,149
3/17/20,149
3/18/20,149
3/19/20,244
3/20/20,451
3/21/20,563
3/22/20,676
3/23/20,862
3/24/20,1102
3/25/20,1333
3/26/20,1698
3/27/20,1997
3/28/20,2317
3/29/20,2611
3/30/20,3030
3/31/20,3532
4/1/20,4414
4/2/20,5398
4/3/20,6520
4/4/20,7574
4/5/20,8093
4/6/20,8926
4/7/20,10343
4/8/20,10887
4/9/20,12228
4/10/20,13215
4/11/20,13851
4/12/20,14412
4/13/20,14986
4/14/20,15731
4/15/20,17169
4/16/20,17922
4/17/20,18683
4/18/20,19325
4/19/20,19720
4/20/20,20267
4/21/20,20798
4/22/20,21342
4/23/20,21858
4/24/20,22248
4/25/20,22617
4/26/20,22859
4/27/20,23296
4/28/20,23663
4/29/20,24090
4/30/20,24379
5/1/20,24597
5/2/20,24763
5/3/20,24900
5/4/20,25204
5/5/20,25537
5/6/20,25812
5/7/20,25990
5/8/20,26233
5/9/20,26313
5/10/20,26383
5/11/20,26646
5/12/20,26994
5/13/20,27077
5/14/20,27428
5/15/20,27532
5/16/20,27532
5/17/20,28111
5/18/20,28242
5/19/20,28025
5/20/20,28135
5/21/20,28218
5/22/20,28292
5/23/20,28335
5/24/20,28370
5/25/20,28460
5/26/20,28533
5/27/20,28599
5/28/20,28665
5/29/20,28717
5/30/20,28774
5/31/20,28805
6/1/20,28836
6/2/20,28943
6/3/20,29024
6/4/20,29068
6/5/20,29114
6/6/20,29145
6/7/20,29158
6/8/20,29212
6/9/20,29299
6/10/20,29322
6/11/20,29349
6/12/20,29377
6/13/20,29401
6/14/20,29410
6/15/20,29439
6/16/20,29550
6/17/20,29578
6/18/20,29606
6/19/20,29620
6/20/20,29636
6/21/20,29643
6/22/20,29666
6/23/20,29723
6/24/20,29734
6/25/20,29755
6/26/20,29781
6/27/20,29781
6/28/20,29781
6/29/20,29816
6/30/20,29846
7/1/20,29864
7/2/20,29878
7/3/20,29896
7/4/20,29896
7/5/20,29896
7/6/20,29923
7/7/20,29936
7/8/20,29936
7/9/20,29982
7/10/20,30007
7/11/20,30007
7/12/20,30007
7/13/20,30032
7/14/20,30032
7/15/20,30123
7/16/20,30141
7/17/20,30155
7/18/20,30155
7/19/20,30155
7/20/20,30180
7/21/20,30168
7/22/20,30175
7/23/20,30185
7/24/20,30195
7/25/20,30195
7/26/20,30195
7/27/20,30212
7/28/20,30226
7/29/20,30226
7/30/20,30241
7/31/20,30268
8/1/20,30268
8/2/20,30268
8/3/20,30268
8/4/20,30297
8/5/20,30297
8/6/20,30308
8/7/20,30327
8/8/20,30327
8/9/20,30327
8/10/20,30327
8/11/20,30328
8/12/20,30375
8/13/20,30392
8/14/20,30410
8/15/20,30410
8/16/20,30410
8/17/20,30434
8/18/20,30434
8/19/20,30434
8/20/20,30434
8/21/20,30508
8/22/20,30517
8/23/20,30518
8/24/20,30533
8/25/20,30549
8/26/20,30549
8/27/20,30581
8/28/20,30601
8/29/20,30601
8/30/20,30611
8/31/20,30640
9/1/20,30666
9/2/20,30692
9/3/20,30712
9/4/20,30730
9/5/20,30730
9/6/20,30730
9/7/20,30732
9/8/20,30770
9/9/20,30805
9/10/20,30819
9/11/20,30901
9/12/20,30902
9/13/20,30903
9/14/20,30958
9/15/20,31007
9/16/20,31056
9/17/20,31103
9/18/20,31257
9/19/20,31257
9/20/20,31257
9/21/20,31346
9/22/20,31426
9/23/20,31447
9/24/20,31524
9/25/20,31675
9/26/20,31675
9/27/20,31675
9/28/20,31744
9/29/20,31908
9/30/20,31986
10/1/20,32034
10/2/20,32171
10/3/20,32171
10/4/20,32171
10/5/20,32317
10/6/20,32383
10/7/20,32463
10/8/20,32539
10/9/20,32601
10/10/20,32601
10/11/20,32601
10/12/20,32703
10/13/20,32982
10/14/20,33058
10/15/20,33146
10/16/20,33325
10/17/20,33325
10/18/20,33325
10/19/20,33647
10/20/20,33928
10/21/20,34075
10/22/20,34237
10/23/20,34536
10/24/20,34536
10/25/20,34536
10/26/20,35052
10/27/20,35582
10/28/20,35823
10/29/20,36058
10/30/20,36605
10/31/20,36826
11/1/20,37057
11/2/20,37485
11/3/20,37915
11/4/20,38728
11/5/20,39088
11/6/20,39916
11/7/20,40220
11/8/20,40490
11/9/20,41049
