,0
Country/Region,FranceFranceFranceFranceFranceFranceFranceFranceFranceFranceFrance
Lat,91.39739499999999
Long,60.04088600000003
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,2
2/13/20,2
2/14/20,2
2/15/20,4
2/16/20,4
2/17/20,4
2/18/20,4
2/19/20,4
2/20/20,4
2/21/20,4
2/22/20,4
2/23/20,4
2/24/20,4
2/25/20,11
2/26/20,11
2/27/20,11
2/28/20,11
2/29/20,12
3/1/20,12
3/2/20,12
3/3/20,12
3/4/20,12
3/5/20,12
3/6/20,12
3/7/20,12
3/8/20,12
3/9/20,12
3/10/20,12
3/11/20,12
3/12/20,12
3/13/20,12
3/14/20,12
3/15/20,12
3/16/20,12
3/17/20,12
3/18/20,12
3/19/20,12
3/20/20,12
3/21/20,12
3/22/20,2206
3/23/20,2206
3/24/20,3250
3/25/20,3907
3/26/20,4955
3/27/20,5707
3/28/20,5724
3/29/20,7226
3/30/20,7964
3/31/20,9513
4/1/20,11053
4/2/20,12548
4/3/20,14135
4/4/20,15572
4/5/20,16349
4/6/20,17428
4/7/20,19523
4/8/20,21452
4/9/20,23413
4/10/20,25195
4/11/20,26663
4/12/20,27469
4/13/20,28001
4/14/20,28805
4/15/20,30955
4/16/20,32812
4/17/20,34420
4/18/20,35983
4/19/20,36578
4/20/20,37409
4/21/20,39181
4/22/20,40657
4/23/20,42088
4/24/20,43493
4/25/20,44594
4/26/20,44903
4/27/20,45513
4/28/20,46886
4/29/20,48228
4/30/20,49476
5/1/20,50212
5/2/20,50663
5/3/20,50885
5/4/20,51476
5/5/20,52842
5/6/20,54079
5/7/20,55191
5/8/20,55892
5/9/20,56148
5/10/20,56327
5/11/20,56835
5/12/20,57898
5/13/20,58786
5/14/20,59719
5/15/20,60562
5/16/20,60562
5/17/20,61327
5/18/20,61843
5/19/20,62678
5/20/20,63472
5/21/20,63976
5/22/20,64327
5/23/20,64665
5/24/20,64735
5/25/20,65317
5/26/20,65997
5/27/20,66702
5/28/20,67309
5/29/20,67921
5/30/20,68386
5/31/20,68473
6/1/20,68558
6/2/20,68930
6/3/20,69573
6/4/20,70094
6/5/20,70622
6/6/20,70924
6/7/20,70961
6/8/20,71182
6/9/20,71626
6/10/20,71952
6/11/20,72269
6/12/20,72695
6/13/20,72931
6/14/20,72982
6/15/20,73168
6/16/20,73459
6/17/20,73791
6/18/20,74011
6/19/20,74241
6/20/20,74436
6/21/20,74496
6/22/20,74736
6/23/20,74995
6/24/20,75251
6/25/20,75475
6/26/20,75773
6/27/20,75773
6/28/20,75774
6/29/20,76124
6/30/20,76399
7/1/20,76674
7/2/20,76927
7/3/20,77185
7/4/20,77185
7/5/20,77185
7/6/20,77444
7/7/20,77780
7/8/20,77780
7/9/20,78295
7/10/20,78513
7/11/20,78513
7/12/20,78513
7/13/20,78722
7/14/20,78722
7/15/20,78945
7/16/20,79161
7/17/20,79371
7/18/20,79371
7/19/20,79371
7/20/20,79668
7/21/20,79861
7/22/20,80084
7/23/20,80600
7/24/20,80943
7/25/20,80945
7/26/20,80945
7/27/20,81212
7/28/20,81441
7/29/20,81443
7/30/20,81632
7/31/20,81764
8/1/20,81764
8/2/20,81764
8/3/20,81764
8/4/20,81764
8/5/20,82298
8/6/20,82592
8/7/20,82968
8/8/20,82968
8/9/20,82971
8/10/20,82971
8/11/20,82971
8/12/20,83609
8/13/20,83612
8/14/20,83993
8/15/20,83993
8/16/20,83993
8/17/20,84214
8/18/20,84214
8/19/20,84214
8/20/20,84214
8/21/20,84981
8/22/20,85102
8/23/20,85125
8/24/20,85352
8/25/20,85757
8/26/20,85811
8/27/20,86271
8/28/20,86495
8/29/20,86495
8/30/20,86495
8/31/20,86790
9/1/20,87036
9/2/20,87418
9/3/20,87661
9/4/20,87927
9/5/20,87927
9/6/20,87927
9/7/20,88484
9/8/20,88876
9/9/20,89242
9/10/20,89468
9/11/20,89890
9/12/20,90445
9/13/20,90445
9/14/20,90432
9/15/20,90816
9/16/20,91293
9/17/20,91765
9/18/20,92700
9/19/20,93586
9/20/20,93586
9/21/20,94289
9/22/20,94961
9/23/20,96498
9/24/20,95980
9/25/20,96909
9/26/20,96937
9/27/20,96937
9/28/20,97127
9/29/20,98088
9/30/20,98632
10/1/20,99154
10/2/20,100253
10/3/20,100281
10/4/20,100281
10/5/20,100873
10/6/20,101443
10/7/20,102061
10/8/20,102542
10/9/20,103232
10/10/20,103232
10/11/20,103232
10/12/20,104035
10/13/20,105203
10/14/20,106374
10/15/20,107043
10/16/20,108014
10/17/20,108014
10/18/20,108014
10/19/20,109611
10/20/20,110515
10/21/20,111715
10/22/20,112662
10/23/20,113636
10/24/20,113636
10/25/20,113698
10/26/20,115964
10/27/20,117400
10/28/20,119413
10/29/20,120723
10/30/20,122224
10/31/20,123095
11/1/20,123664
11/2/20,123664
11/3/20,123664
11/4/20,126195
11/5/20,129759
11/6/20,131810
11/7/20,133419
11/8/20,134095
11/9/20,135216
