,0
Province/State,0
Country/Region,Germany
Lat,51.165690999999995
Long,10.451526
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,1
1/28/20,4
1/29/20,4
1/30/20,4
1/31/20,5
2/1/20,8
2/2/20,10
2/3/20,12
2/4/20,12
2/5/20,12
2/6/20,12
2/7/20,13
2/8/20,13
2/9/20,14
2/10/20,14
2/11/20,16
2/12/20,16
2/13/20,16
2/14/20,16
2/15/20,16
2/16/20,16
2/17/20,16
2/18/20,16
2/19/20,16
2/20/20,16
2/21/20,16
2/22/20,16
2/23/20,16
2/24/20,16
2/25/20,17
2/26/20,27
2/27/20,46
2/28/20,48
2/29/20,79
3/1/20,130
3/2/20,159
3/3/20,196
3/4/20,262
3/5/20,482
3/6/20,670
3/7/20,799
3/8/20,1040
3/9/20,1176
3/10/20,1457
3/11/20,1908
3/12/20,2078
3/13/20,3675
3/14/20,4585
3/15/20,5795
3/16/20,7272
3/17/20,9257
3/18/20,12327
3/19/20,15320
3/20/20,19848
3/21/20,22213
3/22/20,24873
3/23/20,29056
3/24/20,32986
3/25/20,37323
3/26/20,43938
3/27/20,50871
3/28/20,57695
3/29/20,62095
3/30/20,66885
3/31/20,71808
4/1/20,77872
4/2/20,84794
4/3/20,91159
4/4/20,96092
4/5/20,100123
4/6/20,103374
4/7/20,107663
4/8/20,113296
4/9/20,118181
4/10/20,122171
4/11/20,124908
4/12/20,127854
4/13/20,130072
4/14/20,131359
4/15/20,134753
4/16/20,137698
4/17/20,141397
4/18/20,143342
4/19/20,145184
4/20/20,147065
4/21/20,148291
4/22/20,150648
4/23/20,153129
4/24/20,154999
4/25/20,156513
4/26/20,157770
4/27/20,158758
4/28/20,159912
4/29/20,161539
4/30/20,163009
5/1/20,164077
5/2/20,164967
5/3/20,165664
5/4/20,166152
5/5/20,167007
5/6/20,168162
5/7/20,169430
5/8/20,170588
5/9/20,171324
5/10/20,171879
5/11/20,172576
5/12/20,173171
5/13/20,174098
5/14/20,174478
5/15/20,175233
5/16/20,175752
5/17/20,176369
5/18/20,176551
5/19/20,177778
5/20/20,178473
5/21/20,179021
5/22/20,179710
5/23/20,179986
5/24/20,180328
5/25/20,180600
5/26/20,181200
5/27/20,181524
5/28/20,182196
5/29/20,182922
5/30/20,183189
5/31/20,183410
6/1/20,183594
6/2/20,183879
6/3/20,184121
6/4/20,184472
6/5/20,184924
6/6/20,185450
6/7/20,185750
6/8/20,186109
6/9/20,186506
6/10/20,186522
6/11/20,186691
6/12/20,187226
6/13/20,187267
6/14/20,187518
6/15/20,187682
6/16/20,188252
6/17/20,188604
6/18/20,189817
6/19/20,190299
6/20/20,190670
6/21/20,191272
6/22/20,191768
6/23/20,192480
6/24/20,192871
6/25/20,193371
6/26/20,194036
6/27/20,194458
6/28/20,194693
6/29/20,195042
6/30/20,195418
7/1/20,195893
7/2/20,196370
7/3/20,196780
7/4/20,197198
7/5/20,197523
7/6/20,198064
7/7/20,198343
7/8/20,198699
7/9/20,199001
7/10/20,199332
7/11/20,199709
7/12/20,199919
7/13/20,200180
7/14/20,200456
7/15/20,200890
7/16/20,201450
7/17/20,202045
7/18/20,202426
7/19/20,202735
7/20/20,203325
7/21/20,203717
7/22/20,204276
7/23/20,204881
7/24/20,205623
7/25/20,206278
7/26/20,206667
7/27/20,207112
7/28/20,207707
7/29/20,208546
7/30/20,209535
7/31/20,210399
8/1/20,211005
8/2/20,211220
8/3/20,212111
8/4/20,212828
8/5/20,214113
8/6/20,215039
8/7/20,216196
8/8/20,216903
8/9/20,217288
8/10/20,218508
8/11/20,219540
8/12/20,220859
8/13/20,222281
8/14/20,223791
8/15/20,224488
8/16/20,225007
8/17/20,226700
8/18/20,228120
8/19/20,229706
8/20/20,231292
8/21/20,233029
8/22/20,233861
8/23/20,234494
8/24/20,236122
8/25/20,237583
8/26/20,239010
8/27/20,240571
8/28/20,242126
8/29/20,242835
8/30/20,243305
8/31/20,244802
9/1/20,246015
9/2/20,247411
9/3/20,248840
9/4/20,250283
9/5/20,251058
9/6/20,251728
9/7/20,253626
9/8/20,254957
9/9/20,256433
9/10/20,258149
9/11/20,259735
9/12/20,260817
9/13/20,261737
9/14/20,263222
9/15/20,265014
9/16/20,266869
9/17/20,269048
9/18/20,271247
9/19/20,272932
9/20/20,273965
9/21/20,275560
9/22/20,277412
9/23/20,279025
9/24/20,281346
9/25/20,283712
9/26/20,285026
9/27/20,286339
9/28/20,288631
9/29/20,290471
9/30/20,292913
10/1/20,295539
10/2/20,298374
10/3/20,300027
10/4/20,301573
10/5/20,304673
10/6/20,307127
10/7/20,311137
10/8/20,315941
10/9/20,320495
10/10/20,323463
10/11/20,326309
10/12/20,332850
10/13/20,337314
10/14/20,344487
10/15/20,352107
10/16/20,359802
10/17/20,364664
10/18/20,368671
10/19/20,377068
10/20/20,385591
10/21/20,397922
10/22/20,403874
10/23/20,417350
10/24/20,427808
10/25/20,437698
10/26/20,450258
10/27/20,463419
10/28/20,479621
10/29/20,498354
10/30/20,517736
10/31/20,531790
11/1/20,544346
11/2/20,569598
11/3/20,577131
11/4/20,608611
11/5/20,631172
11/6/20,653992
11/7/20,668114
11/8/20,682624
11/9/20,689146
