,0
Province/State,0
Country/Region,Germany
Lat,51.165690999999995
Long,10.451526
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,2
3/10/20,2
3/11/20,3
3/12/20,3
3/13/20,7
3/14/20,9
3/15/20,11
3/16/20,17
3/17/20,24
3/18/20,28
3/19/20,44
3/20/20,67
3/21/20,84
3/22/20,94
3/23/20,123
3/24/20,157
3/25/20,206
3/26/20,267
3/27/20,342
3/28/20,433
3/29/20,533
3/30/20,645
3/31/20,775
4/1/20,920
4/2/20,1107
4/3/20,1275
4/4/20,1444
4/5/20,1584
4/6/20,1810
4/7/20,2016
4/8/20,2349
4/9/20,2607
4/10/20,2767
4/11/20,2736
4/12/20,3022
4/13/20,3194
4/14/20,3294
4/15/20,3804
4/16/20,4052
4/17/20,4352
4/18/20,4459
4/19/20,4586
4/20/20,4862
4/21/20,5033
4/22/20,5279
4/23/20,5575
4/24/20,5760
4/25/20,5877
4/26/20,5976
4/27/20,6126
4/28/20,6314
4/29/20,6467
4/30/20,6623
5/1/20,6736
5/2/20,6812
5/3/20,6866
5/4/20,6993
5/5/20,6993
5/6/20,7275
5/7/20,7392
5/8/20,7510
5/9/20,7549
5/10/20,7569
5/11/20,7661
5/12/20,7738
5/13/20,7861
5/14/20,7884
5/15/20,7897
5/16/20,7938
5/17/20,7962
5/18/20,8003
5/19/20,8081
5/20/20,8144
5/21/20,8203
5/22/20,8228
5/23/20,8261
5/24/20,8283
5/25/20,8309
5/26/20,8372
5/27/20,8428
5/28/20,8470
5/29/20,8504
5/30/20,8530
5/31/20,8540
6/1/20,8555
6/2/20,8563
6/3/20,8602
6/4/20,8635
6/5/20,8658
6/6/20,8673
6/7/20,8685
6/8/20,8695
6/9/20,8736
6/10/20,8752
6/11/20,8772
6/12/20,8783
6/13/20,8793
6/14/20,8801
6/15/20,8807
6/16/20,8820
6/17/20,8851
6/18/20,8875
6/19/20,8887
6/20/20,8895
6/21/20,8895
6/22/20,8899
6/23/20,8914
6/24/20,8928
6/25/20,8940
6/26/20,8965
6/27/20,8968
6/28/20,8968
6/29/20,8976
6/30/20,8990
7/1/20,8995
7/2/20,9006
7/3/20,9010
7/4/20,9020
7/5/20,9023
7/6/20,9022
7/7/20,9032
7/8/20,9046
7/9/20,9057
7/10/20,9063
7/11/20,9070
7/12/20,9071
7/13/20,9074
7/14/20,9078
7/15/20,9080
7/16/20,9087
7/17/20,9088
7/18/20,9091
7/19/20,9092
7/20/20,9094
7/21/20,9099
7/22/20,9102
7/23/20,9110
7/24/20,9120
7/25/20,9124
7/26/20,9124
7/27/20,9125
7/28/20,9131
7/29/20,9135
7/30/20,9144
7/31/20,9147
8/1/20,9154
8/2/20,9154
8/3/20,9154
8/4/20,9163
8/5/20,9179
8/6/20,9181
8/7/20,9195
8/8/20,9201
8/9/20,9202
8/10/20,9203
8/11/20,9208
8/12/20,9213
8/13/20,9217
8/14/20,9230
8/15/20,9235
8/16/20,9235
8/17/20,9236
8/18/20,9241
8/19/20,9249
8/20/20,9263
8/21/20,9266
8/22/20,9272
8/23/20,9275
8/24/20,9276
8/25/20,9281
8/26/20,9285
8/27/20,9290
8/28/20,9290
8/29/20,9299
8/30/20,9300
8/31/20,9303
9/1/20,9307
9/2/20,9322
9/3/20,9322
9/4/20,9327
9/5/20,9329
9/6/20,9330
9/7/20,9331
9/8/20,9336
9/9/20,9342
9/10/20,9345
9/11/20,9348
9/12/20,9352
9/13/20,9354
9/14/20,9356
9/15/20,9367
9/16/20,9373
9/17/20,9376
9/18/20,9386
9/19/20,9388
9/20/20,9390
9/21/20,9390
9/22/20,9405
9/23/20,9423
9/24/20,9436
9/25/20,9451
9/26/20,9459
9/27/20,9464
9/28/20,9468
9/29/20,9483
9/30/20,9495
10/1/20,9509
10/2/20,9518
10/3/20,9531
10/4/20,9533
10/5/20,9554
10/6/20,9566
10/7/20,9582
10/8/20,9594
10/9/20,9599
10/10/20,9620
10/11/20,9626
10/12/20,9640
10/13/20,9682
10/14/20,9716
10/15/20,9739
10/16/20,9773
10/17/20,9785
10/18/20,9798
10/19/20,9842
10/20/20,9882
10/21/20,9911
10/22/20,9960
10/23/20,9978
10/24/20,10035
10/25/20,10062
10/26/20,10091
10/27/20,10121
10/28/20,10218
10/29/20,10305
10/30/20,10391
10/31/20,10483
11/1/20,10513
11/2/20,10669
11/3/20,10717
11/4/20,10949
11/5/20,11110
11/6/20,11240
11/7/20,11306
11/8/20,11372
11/9/20,11408
