,0
Province/State,0
Country/Region,Germany
Lat,51.165690999999995
Long,10.451526
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,1
2/14/20,1
2/15/20,1
2/16/20,1
2/17/20,1
2/18/20,12
2/19/20,12
2/20/20,12
2/21/20,14
2/22/20,14
2/23/20,14
2/24/20,14
2/25/20,14
2/26/20,15
2/27/20,16
2/28/20,16
2/29/20,16
3/1/20,16
3/2/20,16
3/3/20,16
3/4/20,16
3/5/20,16
3/6/20,17
3/7/20,18
3/8/20,18
3/9/20,18
3/10/20,18
3/11/20,25
3/12/20,25
3/13/20,46
3/14/20,46
3/15/20,46
3/16/20,67
3/17/20,67
3/18/20,105
3/19/20,113
3/20/20,180
3/21/20,233
3/22/20,266
3/23/20,266
3/24/20,3243
3/25/20,3547
3/26/20,5673
3/27/20,6658
3/28/20,8481
3/29/20,9211
3/30/20,13500
3/31/20,16100
4/1/20,18700
4/2/20,22440
4/3/20,24575
4/4/20,26400
4/5/20,28700
4/6/20,28700
4/7/20,36081
4/8/20,46300
4/9/20,52407
4/10/20,53913
4/11/20,57400
4/12/20,60300
4/13/20,64300
4/14/20,68200
4/15/20,72600
4/16/20,77000
4/17/20,83114
4/18/20,85400
4/19/20,88000
4/20/20,91500
4/21/20,95200
4/22/20,99400
4/23/20,103300
4/24/20,109800
4/25/20,109800
4/26/20,112000
4/27/20,114500
4/28/20,117400
4/29/20,120400
4/30/20,123500
5/1/20,126900
5/2/20,129000
5/3/20,130600
5/4/20,132700
5/5/20,135100
5/6/20,139900
5/7/20,141700
5/8/20,141700
5/9/20,143300
5/10/20,144400
5/11/20,145617
5/12/20,147200
5/13/20,148700
5/14/20,150300
5/15/20,151597
5/16/20,152600
5/17/20,154011
5/18/20,155041
5/19/20,155681
5/20/20,156966
5/21/20,158087
5/22/20,159064
5/23/20,159716
5/24/20,160281
5/25/20,161199
5/26/20,161967
5/27/20,162820
5/28/20,163360
5/29/20,164245
5/30/20,164908
5/31/20,165352
6/1/20,165632
6/2/20,166609
6/3/20,167453
6/4/20,167909
6/5/20,168480
6/6/20,168958
6/7/20,169224
6/8/20,169556
6/9/20,170129
6/10/20,170630
6/11/20,170961
6/12/20,171535
6/13/20,171970
6/14/20,172089
6/15/20,172692
6/16/20,172842
6/17/20,173599
6/18/20,173847
6/19/20,173972
6/20/20,174609
6/21/20,174740
6/22/20,175143
6/23/20,175825
6/24/20,176422
6/25/20,176764
6/26/20,177149
6/27/20,177518
6/28/20,177657
6/29/20,177770
6/30/20,178100
7/1/20,179100
7/2/20,179800
7/3/20,180300
7/4/20,181000
7/5/20,181719
7/6/20,182160
7/7/20,182661
7/8/20,183153
7/9/20,183728
7/10/20,184028
7/11/20,184266
7/12/20,184414
7/13/20,185100
7/14/20,185100
7/15/20,186000
7/16/20,186400
7/17/20,186900
7/18/20,187200
7/19/20,187400
7/20/20,188070
7/21/20,188221
7/22/20,188628
7/23/20,189140
7/24/20,189696
7/25/20,189919
7/26/20,190055
7/27/20,190314
7/28/20,190711
7/29/20,191279
7/30/20,191551
7/31/20,191992
8/1/20,192636
8/2/20,192908
8/3/20,193594
8/4/20,194173
8/5/20,194568
8/6/20,195281
8/7/20,195935
8/8/20,196550
8/9/20,196783
8/10/20,197382
8/11/20,198347
8/12/20,198991
8/13/20,199654
8/14/20,200440
8/15/20,200756
8/16/20,201187
8/17/20,202249
8/18/20,203677
8/19/20,204454
8/20/20,205359
8/21/20,206656
8/22/20,207606
8/23/20,207985
8/24/20,208653
8/25/20,210333
8/26/20,211691
8/27/20,212909
8/28/20,214186
8/29/20,214790
8/30/20,215283
8/31/20,216795
9/1/20,218403
9/2/20,219904
9/3/20,221525
9/4/20,222802
9/5/20,223570
9/6/20,224215
9/7/20,225704
9/8/20,227379
9/9/20,228784
9/10/20,230283
9/11/20,231349
9/12/20,231953
9/13/20,232541
9/14/20,234017
9/15/20,235112
9/16/20,236623
9/17/20,238437
9/18/20,239654
9/19/20,240510
9/20/20,241192
9/21/20,242656
9/22/20,244693
9/23/20,245706
9/24/20,247766
9/25/20,249164
9/26/20,250104
9/27/20,250866
9/28/20,252693
9/29/20,255212
9/30/20,256861
10/1/20,258220
10/2/20,259722
10/3/20,260916
10/4/20,262002
10/5/20,265624
10/6/20,267747
10/7/20,269722
10/8/20,271960
10/9/20,273718
10/10/20,274934
10/11/20,276983
10/12/20,278391
10/13/20,280533
10/14/20,283656
10/15/20,286137
10/16/20,289027
10/17/20,291129
10/18/20,293447
10/19/20,296672
10/20/20,299743
10/21/20,304173
10/22/20,308779
10/23/20,312347
10/24/20,316124
10/25/20,320004
10/26/20,325052
10/27/20,327697
10/28/20,336764
10/29/20,340436
10/30/20,351921
10/31/20,356410
11/1/20,363545
11/2/20,372499
11/3/20,373391
11/4/20,384012
11/5/20,394616
11/6/20,405809
11/7/20,413484
11/8/20,421151
11/9/20,443621
