,0
Province/State,0
Country/Region,Italy
Lat,41.87194
Long,12.56738
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,1
2/23/20,2
2/24/20,1
2/25/20,1
2/26/20,3
2/27/20,45
2/28/20,46
2/29/20,46
3/1/20,83
3/2/20,149
3/3/20,160
3/4/20,276
3/5/20,414
3/6/20,523
3/7/20,589
3/8/20,622
3/9/20,724
3/10/20,724
3/11/20,1045
3/12/20,1045
3/13/20,1439
3/14/20,1966
3/15/20,2335
3/16/20,2749
3/17/20,2941
3/18/20,4025
3/19/20,4440
3/20/20,4440
3/21/20,6072
3/22/20,7024
3/23/20,7024
3/24/20,8326
3/25/20,9362
3/26/20,10361
3/27/20,10950
3/28/20,12384
3/29/20,13030
3/30/20,14620
3/31/20,15729
4/1/20,16847
4/2/20,18278
4/3/20,19758
4/4/20,20996
4/5/20,21815
4/6/20,22837
4/7/20,24392
4/8/20,26491
4/9/20,28470
4/10/20,30455
4/11/20,32534
4/12/20,34211
4/13/20,35435
4/14/20,37130
4/15/20,38092
4/16/20,40164
4/17/20,42727
4/18/20,44927
4/19/20,47055
4/20/20,48877
4/21/20,51600
4/22/20,54543
4/23/20,57576
4/24/20,60498
4/25/20,63120
4/26/20,64928
4/27/20,66624
4/28/20,68941
4/29/20,71252
4/30/20,75945
5/1/20,78249
5/2/20,79914
5/3/20,81654
5/4/20,82879
5/5/20,85231
5/6/20,93245
5/7/20,96276
5/8/20,99023
5/9/20,103031
5/10/20,105186
5/11/20,106587
5/12/20,109039
5/13/20,112541
5/14/20,115288
5/15/20,120205
5/16/20,122810
5/17/20,125176
5/18/20,127326
5/19/20,129401
5/20/20,132282
5/21/20,134560
5/22/20,136720
5/23/20,138840
5/24/20,140479
5/25/20,141981
5/26/20,144658
5/27/20,147101
5/28/20,150604
5/29/20,152844
5/30/20,155633
5/31/20,157507
6/1/20,158355
6/2/20,160092
6/3/20,160938
6/4/20,161895
6/5/20,163781
6/6/20,165078
6/7/20,165837
6/8/20,166584
6/9/20,168646
6/10/20,169939
6/11/20,171338
6/12/20,173085
6/13/20,174865
6/14/20,176370
6/15/20,177010
6/16/20,178526
6/17/20,179455
6/18/20,180544
6/19/20,181907
6/20/20,182453
6/21/20,182893
6/22/20,183426
6/23/20,184585
6/24/20,186111
6/25/20,186725
6/26/20,187615
6/27/20,188584
6/28/20,188891
6/29/20,189196
6/30/20,190248
7/1/20,190717
7/2/20,191083
7/3/20,191467
7/4/20,191944
7/5/20,192108
7/6/20,192241
7/7/20,192815
7/8/20,193640
7/9/20,193978
7/10/20,194273
7/11/20,194579
7/12/20,194928
7/13/20,195106
7/14/20,195441
7/15/20,196016
7/16/20,196246
7/17/20,196483
7/18/20,196806
7/19/20,196949
7/20/20,197162
7/21/20,197431
7/22/20,197628
7/23/20,197842
7/24/20,198192
7/25/20,198320
7/26/20,198446
7/27/20,198593
7/28/20,198756
7/29/20,199031
7/30/20,199796
7/31/20,199974
8/1/20,200229
8/2/20,200460
8/3/20,200589
8/4/20,200766
8/5/20,200976
8/6/20,201323
8/7/20,201642
8/8/20,201947
8/9/20,202098
8/10/20,202248
8/11/20,202461
8/12/20,202697
8/13/20,202923
8/14/20,203326
8/15/20,203640
8/16/20,203786
8/17/20,203968
8/18/20,204142
8/19/20,204506
8/20/20,204686
8/21/20,204960
8/22/20,205203
8/23/20,205470
8/24/20,205662
8/25/20,206015
8/26/20,206329
8/27/20,206554
8/28/20,206902
8/29/20,208224
8/30/20,208536
8/31/20,207653
9/1/20,207944
9/2/20,208201
9/3/20,208490
9/4/20,209027
9/5/20,209610
9/6/20,210015
9/7/20,210238
9/8/20,210801
9/9/20,211272
9/10/20,211885
9/11/20,212432
9/12/20,213191
9/13/20,213634
9/14/20,213950
9/15/20,214645
9/16/20,215265
9/17/20,215954
9/18/20,216807
9/19/20,217716
9/20/20,218351
9/21/20,218703
9/22/20,219670
9/23/20,220665
9/24/20,221762
9/25/20,222716
9/26/20,223693
9/27/20,224417
9/28/20,225190
9/29/20,226506
9/30/20,227704
10/1/20,228844
10/2/20,229970
10/3/20,231217
10/4/20,231914
10/5/20,232681
10/6/20,234099
10/7/20,235303
10/8/20,236363
10/9/20,237549
10/10/20,238525
10/11/20,239709
10/12/20,240600
10/13/20,242028
10/14/20,244065
10/15/20,245964
10/16/20,247872
10/17/20,249127
10/18/20,251461
10/19/20,252959
10/20/20,255005
10/21/20,257374
10/22/20,259456
10/23/20,261808
10/24/20,264117
10/25/20,266203
10/26/20,268626
10/27/20,271988
10/28/20,275404
10/29/20,279282
10/30/20,283567
10/31/20,289426
11/1/20,292380
11/2/20,296017
11/3/20,302275
11/4/20,307378
11/5/20,312339
11/6/20,322925
11/7/20,328891
11/8/20,335074
11/9/20,345289
